,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
311,eye_color,blue,2,0.5763403,blue,mac_hybrid_200_2048_1e-05
312,monk_scale,scale 4,4,0.41680333,scale 4,mac_hybrid_200_2048_1e-05
313,fitz_type,type i,0,0.9141533,type i,mac_hybrid_200_2048_1e-05
314,male,0,0,0.99998784,0,mac_hybrid_200_2048_1e-05
315,age,adult,0,0.86160547,adult,mac_hybrid_200_2048_1e-05
316,hair_type,wavy,3,0.3384301,straight,mac_hybrid_200_2048_1e-05
317,hair_color,brunette,3,0.50489354,brunette,mac_hybrid_200_2048_1e-05
318,eye_color,blue,2,0.6167998,blue,mac_hybrid_200_2048_1e-05
319,monk_scale,scale 4,4,0.09216433,scale 2,mac_hybrid_200_2048_1e-05
320,fitz_type,type i,0,0.98028505,type i,mac_hybrid_200_2048_1e-05
321,male,0,0,0.9999337,0,mac_hybrid_200_2048_1e-05
322,age,adult,0,0.4026799,young adult,mac_hybrid_200_2048_1e-05
323,hair_type,wavy,3,0.47328156,straight,mac_hybrid_200_2048_1e-05
324,hair_color,brunette,3,0.99215335,brunette,mac_hybrid_200_2048_1e-05
325,eye_color,blue,2,0.48464,brown,mac_hybrid_200_2048_1e-05
326,monk_scale,scale 4,4,0.42337325,scale 2,mac_hybrid_200_2048_1e-05
327,fitz_type,type i,0,0.97192544,type i,mac_hybrid_200_2048_1e-05
328,male,0,0,0.9999305,0,mac_hybrid_200_2048_1e-05
329,age,adult,0,0.7195497,adult,mac_hybrid_200_2048_1e-05
330,hair_type,wavy,3,0.22268076,straight,mac_hybrid_200_2048_1e-05
331,hair_color,brunette,3,0.8895016,brunette,mac_hybrid_200_2048_1e-05
332,eye_color,blue,2,0.7052794,blue,mac_hybrid_200_2048_1e-05
333,monk_scale,scale 4,4,0.5910219,scale 4,mac_hybrid_200_2048_1e-05
334,fitz_type,type i,0,0.9789938,type i,mac_hybrid_200_2048_1e-05
335,male,0,0,0.99998236,0,mac_hybrid_200_2048_1e-05
336,age,adult,0,0.1428032,young adult,mac_hybrid_200_2048_1e-05
337,hair_type,wavy,3,0.9350114,wavy,mac_hybrid_200_2048_1e-05
338,hair_color,brunette,3,0.9840719,brunette,mac_hybrid_200_2048_1e-05
339,eye_color,blue,2,0.49379387,brown,mac_hybrid_200_2048_1e-05
340,monk_scale,scale 4,4,0.031738702,scale 2,mac_hybrid_200_2048_1e-05
341,fitz_type,type i,0,0.48541275,type iii,mac_hybrid_200_2048_1e-05
342,male,0,0,0.99997735,0,mac_hybrid_200_2048_1e-05
343,age,adult,0,0.753308,adult,mac_hybrid_200_2048_1e-05
344,hair_type,wavy,3,0.9933925,wavy,mac_hybrid_200_2048_1e-05
345,hair_color,brunette,3,0.9895698,brunette,mac_hybrid_200_2048_1e-05
346,eye_color,blue,2,0.49241954,blue,mac_hybrid_200_2048_1e-05
347,monk_scale,scale 4,4,0.2338414,scale 2,mac_hybrid_200_2048_1e-05
348,fitz_type,type i,0,0.99828583,type i,mac_hybrid_200_2048_1e-05
349,male,0,0,0.99998605,0,mac_hybrid_200_2048_1e-05
350,age,adult,0,0.89042985,adult,mac_hybrid_200_2048_1e-05
351,hair_type,wavy,3,0.9768654,wavy,mac_hybrid_200_2048_1e-05
352,hair_color,brunette,3,0.9225702,brunette,mac_hybrid_200_2048_1e-05
353,eye_color,blue,2,0.83626676,blue,mac_hybrid_200_2048_1e-05
354,monk_scale,scale 4,4,0.81775445,scale 4,mac_hybrid_200_2048_1e-05
355,fitz_type,type i,0,0.99449545,type i,mac_hybrid_200_2048_1e-05
356,male,0,0,0.9999993,0,mac_hybrid_200_2048_1e-05
357,age,adult,0,0.46489748,young adult,mac_hybrid_200_2048_1e-05
358,hair_type,wavy,3,0.673609,wavy,mac_hybrid_200_2048_1e-05
359,hair_color,brunette,3,0.95839137,brunette,mac_hybrid_200_2048_1e-05
360,eye_color,blue,2,0.8834927,blue,mac_hybrid_200_2048_1e-05
361,monk_scale,scale 4,4,0.076703764,scale 2,mac_hybrid_200_2048_1e-05
362,fitz_type,type i,0,0.7963977,type i,mac_hybrid_200_2048_1e-05
363,male,0,0,0.9998944,0,mac_hybrid_200_2048_1e-05
364,age,adult,0,0.74832195,adult,mac_hybrid_200_2048_1e-05
365,hair_type,wavy,3,0.88352454,wavy,mac_hybrid_200_2048_1e-05
366,hair_color,brunette,3,0.99100375,brunette,mac_hybrid_200_2048_1e-05
367,eye_color,blue,2,0.60367835,blue,mac_hybrid_200_2048_1e-05
368,monk_scale,scale 4,4,0.8845192,scale 4,mac_hybrid_200_2048_1e-05
369,fitz_type,type i,0,0.99989307,type i,mac_hybrid_200_2048_1e-05
370,male,0,0,0.99987304,0,mac_hybrid_200_2048_1e-05
371,age,adult,0,0.30217263,young adult,mac_hybrid_200_2048_1e-05
372,hair_type,wavy,3,0.9996792,wavy,mac_hybrid_200_2048_1e-05
373,hair_color,brunette,3,0.9755082,brunette,mac_hybrid_200_2048_1e-05
374,eye_color,blue,2,0.13142796,brown,mac_hybrid_200_2048_1e-05
375,monk_scale,scale 4,4,0.86591625,scale 4,mac_hybrid_200_2048_1e-05
376,fitz_type,type i,0,0.9993326,type i,mac_hybrid_200_2048_1e-05
377,male,0,0,0.9994178,0,mac_hybrid_200_2048_1e-05
378,age,adult,0,0.26191393,young adult,mac_hybrid_200_2048_1e-05
379,hair_type,wavy,3,0.9730864,wavy,mac_hybrid_200_2048_1e-05
380,hair_color,brunette,3,0.99769396,brunette,mac_hybrid_200_2048_1e-05
381,eye_color,blue,2,0.13813218,brown,mac_hybrid_200_2048_1e-05
382,monk_scale,scale 4,4,0.77774173,scale 4,mac_hybrid_200_2048_1e-05
383,fitz_type,type i,0,0.9110545,type i,mac_hybrid_200_2048_1e-05
384,male,0,0,0.9999989,0,mac_hybrid_200_2048_1e-05
385,age,adult,0,0.8217528,adult,mac_hybrid_200_2048_1e-05
386,hair_type,wavy,3,0.24933489,straight,mac_hybrid_200_2048_1e-05
387,hair_color,brunette,3,0.99967194,brunette,mac_hybrid_200_2048_1e-05
388,eye_color,blue,2,0.5138585,blue,mac_hybrid_200_2048_1e-05
389,monk_scale,scale 4,4,0.018830042,scale 1,mac_hybrid_200_2048_1e-05
390,fitz_type,type i,0,0.9951055,type i,mac_hybrid_200_2048_1e-05
391,male,0,0,0.9999927,0,mac_hybrid_200_2048_1e-05
392,age,adult,0,0.091071524,young adult,mac_hybrid_200_2048_1e-05
393,hair_type,wavy,3,0.97088873,wavy,mac_hybrid_200_2048_1e-05
394,hair_color,brunette,3,0.99626476,brunette,mac_hybrid_200_2048_1e-05
395,eye_color,blue,2,0.089438915,brown,mac_hybrid_200_2048_1e-05
396,monk_scale,scale 4,4,0.059604216,scale 2,mac_hybrid_200_2048_1e-05
397,fitz_type,type i,0,0.99904567,type i,mac_hybrid_200_2048_1e-05
398,male,0,0,0.9999969,0,mac_hybrid_200_2048_1e-05
399,age,adult,0,0.99575883,adult,mac_hybrid_200_2048_1e-05
400,hair_type,wavy,3,0.9773068,wavy,mac_hybrid_200_2048_1e-05
401,hair_color,brunette,3,0.6433477,brunette,mac_hybrid_200_2048_1e-05
402,eye_color,blue,2,0.94783264,blue,mac_hybrid_200_2048_1e-05
403,monk_scale,scale 4,4,0.31628078,scale 2,mac_hybrid_200_2048_1e-05
404,fitz_type,type i,0,0.88612175,type i,mac_hybrid_200_2048_1e-05
405,male,0,0,0.99998605,0,mac_hybrid_200_2048_1e-05
406,age,adult,0,0.897801,adult,mac_hybrid_200_2048_1e-05
407,hair_type,wavy,3,0.8561758,wavy,mac_hybrid_200_2048_1e-05
408,hair_color,brunette,3,0.9804745,brunette,mac_hybrid_200_2048_1e-05
409,eye_color,blue,2,0.9947372,blue,mac_hybrid_200_2048_1e-05
410,monk_scale,scale 4,4,0.011566372,scale 2,mac_hybrid_200_2048_1e-05
411,fitz_type,type i,0,0.98589593,type i,mac_hybrid_200_2048_1e-05
412,male,0,0,0.9992812,0,mac_hybrid_200_2048_1e-05
413,age,adult,0,0.5557597,adult,mac_hybrid_200_2048_1e-05
414,hair_type,wavy,3,0.99428093,wavy,mac_hybrid_200_2048_1e-05
415,hair_color,brunette,3,0.76309675,brunette,mac_hybrid_200_2048_1e-05
416,eye_color,blue,2,0.51158816,blue,mac_hybrid_200_2048_1e-05
417,monk_scale,scale 4,4,0.10666434,scale 2,mac_hybrid_200_2048_1e-05
418,fitz_type,type i,0,0.9986739,type i,mac_hybrid_200_2048_1e-05
419,male,0,0,0.9999958,0,mac_hybrid_200_2048_1e-05
420,age,adult,0,0.98392177,adult,mac_hybrid_200_2048_1e-05
421,hair_type,wavy,3,0.9316656,wavy,mac_hybrid_200_2048_1e-05
422,hair_color,brunette,3,0.98572576,brunette,mac_hybrid_200_2048_1e-05
423,eye_color,blue,2,0.8977534,blue,mac_hybrid_200_2048_1e-05
424,monk_scale,scale 4,4,0.49550632,scale 4,mac_hybrid_200_2048_1e-05
425,fitz_type,type i,0,0.9998305,type i,mac_hybrid_200_2048_1e-05
426,male,0,0,0.99999607,0,mac_hybrid_200_2048_1e-05
427,age,adult,0,0.7973425,adult,mac_hybrid_200_2048_1e-05
428,hair_type,wavy,3,0.627636,wavy,mac_hybrid_200_2048_1e-05
429,hair_color,brunette,3,0.4983066,brunette,mac_hybrid_200_2048_1e-05
430,eye_color,blue,2,0.8094074,blue,mac_hybrid_200_2048_1e-05
431,monk_scale,scale 4,4,0.6102231,scale 4,mac_hybrid_200_2048_1e-05
432,fitz_type,type i,0,0.95496607,type i,mac_hybrid_200_2048_1e-05
433,male,0,0,0.9999113,0,mac_hybrid_200_2048_1e-05
434,age,adult,0,0.09374125,young adult,mac_hybrid_200_2048_1e-05
435,hair_type,wavy,3,0.9649769,wavy,mac_hybrid_200_2048_1e-05
436,hair_color,brunette,3,0.95778,brunette,mac_hybrid_200_2048_1e-05
437,eye_color,blue,2,0.5469811,blue,mac_hybrid_200_2048_1e-05
438,monk_scale,scale 4,4,0.91477644,scale 4,mac_hybrid_200_2048_1e-05
439,fitz_type,type i,0,0.87142247,type i,mac_hybrid_200_2048_1e-05
440,male,0,0,0.9999896,0,mac_hybrid_200_2048_1e-05
441,age,adult,0,0.69491065,adult,mac_hybrid_200_2048_1e-05
442,hair_type,wavy,3,0.9912627,wavy,mac_hybrid_200_2048_1e-05
443,hair_color,brunette,3,0.9977724,brunette,mac_hybrid_200_2048_1e-05
