,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
690,monk_scale,scale 9,9,0.09011559933423996,scale 8,mac_hybrid_200_2048_1e-05
691,fitz_type,type vi,5,0.9982238411903381,type vi,mac_hybrid_200_2048_1e-05
692,male,1,1,0.9999857,0,mac_hybrid_200_2048_1e-05
693,age,adult,0,0.9999004602432251,adult,mac_hybrid_200_2048_1e-05
694,hair_type,straight,2,0.9710869193077087,straight,mac_hybrid_200_2048_1e-05
695,hair_color,black,0,0.9999725818634033,black,mac_hybrid_200_2048_1e-05
696,eye_color,black,1,0.9955322742462158,black,mac_hybrid_200_2048_1e-05
697,monk_scale,scale 9,9,0.995096743106842,scale 9,mac_hybrid_200_2048_1e-05
698,fitz_type,type vi,5,0.978950560092926,type vi,mac_hybrid_200_2048_1e-05
699,male,1,1,0.99984896,0,mac_hybrid_200_2048_1e-05
