,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
420,age,adult,0,0.9995765,adult,mac_hybrid_200_2048_1e-05
421,hair_type,curly,1,0.69702643,curly,mac_hybrid_200_2048_1e-05
422,hair_color,black,0,0.9986173,black,mac_hybrid_200_2048_1e-05
423,eye_color,black,1,0.8298771,black,mac_hybrid_200_2048_1e-05
424,monk_scale,scale 5,5,0.87705874,scale 5,mac_hybrid_200_2048_1e-05
425,fitz_type,type iv,3,0.22107297,type v,mac_hybrid_200_2048_1e-05
426,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
427,age,adult,0,0.95468664,adult,mac_hybrid_200_2048_1e-05
428,hair_type,curly,1,0.14528899,wavy,mac_hybrid_200_2048_1e-05
429,hair_color,black,0,0.99961096,black,mac_hybrid_200_2048_1e-05
430,eye_color,black,1,0.91215104,black,mac_hybrid_200_2048_1e-05
431,monk_scale,scale 5,5,0.050589856,scale 1,mac_hybrid_200_2048_1e-05
432,fitz_type,type iv,3,0.040623315,type v,mac_hybrid_200_2048_1e-05
433,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
434,age,adult,0,0.99975353,adult,mac_hybrid_200_2048_1e-05
435,hair_type,curly,1,0.8782859,curly,mac_hybrid_200_2048_1e-05
436,hair_color,black,0,0.9993678,black,mac_hybrid_200_2048_1e-05
437,eye_color,black,1,0.9293876,black,mac_hybrid_200_2048_1e-05
438,monk_scale,scale 5,5,0.31221816,scale 7,mac_hybrid_200_2048_1e-05
439,fitz_type,type iv,3,0.06699208,type v,mac_hybrid_200_2048_1e-05
440,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
441,age,adult,0,0.99996245,adult,mac_hybrid_200_2048_1e-05
442,hair_type,curly,1,0.15186864,coily,mac_hybrid_200_2048_1e-05
443,hair_color,black,0,0.99907947,black,mac_hybrid_200_2048_1e-05
444,eye_color,black,1,0.834877,black,mac_hybrid_200_2048_1e-05
445,monk_scale,scale 5,5,0.069312185,scale 8,mac_hybrid_200_2048_1e-05
446,fitz_type,type iv,3,0.95503855,type iv,mac_hybrid_200_2048_1e-05
447,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
448,age,adult,0,0.9342743,adult,mac_hybrid_200_2048_1e-05
449,hair_type,curly,1,0.28462163,coily,mac_hybrid_200_2048_1e-05
450,hair_color,black,0,0.9999622,black,mac_hybrid_200_2048_1e-05
451,eye_color,black,1,0.9943949,black,mac_hybrid_200_2048_1e-05
452,monk_scale,scale 5,5,0.098566964,scale 7,mac_hybrid_200_2048_1e-05
453,fitz_type,type iv,3,0.05208268,type v,mac_hybrid_200_2048_1e-05
454,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
455,age,adult,0,0.999326,adult,mac_hybrid_200_2048_1e-05
456,hair_type,curly,1,0.16437036,coily,mac_hybrid_200_2048_1e-05
457,hair_color,black,0,0.9938777,black,mac_hybrid_200_2048_1e-05
458,eye_color,black,1,0.9711395,black,mac_hybrid_200_2048_1e-05
459,monk_scale,scale 5,5,0.5829965,scale 5,mac_hybrid_200_2048_1e-05
460,fitz_type,type iv,3,0.6876937,type iv,mac_hybrid_200_2048_1e-05
461,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
462,age,adult,0,0.9706175,adult,mac_hybrid_200_2048_1e-05
463,hair_type,curly,1,0.42793944,wavy,mac_hybrid_200_2048_1e-05
464,hair_color,black,0,0.9639243,black,mac_hybrid_200_2048_1e-05
465,eye_color,black,1,0.9888916,black,mac_hybrid_200_2048_1e-05
466,monk_scale,scale 5,5,0.17196201,scale 7,mac_hybrid_200_2048_1e-05
467,fitz_type,type iv,3,0.1788644,type v,mac_hybrid_200_2048_1e-05
468,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
469,age,adult,0,0.99590707,adult,mac_hybrid_200_2048_1e-05
470,hair_type,curly,1,0.06905981,wavy,mac_hybrid_200_2048_1e-05
471,hair_color,black,0,0.9823638,black,mac_hybrid_200_2048_1e-05
472,eye_color,black,1,0.9645382,black,mac_hybrid_200_2048_1e-05
473,monk_scale,scale 5,5,0.36419934,scale 5,mac_hybrid_200_2048_1e-05
474,fitz_type,type iv,3,0.82363206,type iv,mac_hybrid_200_2048_1e-05
475,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
476,age,adult,0,0.9997534,adult,mac_hybrid_200_2048_1e-05
477,hair_type,curly,1,0.016665045,straight,mac_hybrid_200_2048_1e-05
478,hair_color,black,0,0.99901724,black,mac_hybrid_200_2048_1e-05
479,eye_color,black,1,0.30399504,green,mac_hybrid_200_2048_1e-05
480,monk_scale,scale 5,5,0.8154112,scale 5,mac_hybrid_200_2048_1e-05
481,fitz_type,type iv,3,0.0007630794,type v,mac_hybrid_200_2048_1e-05
482,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
483,age,adult,0,0.9954567,adult,mac_hybrid_200_2048_1e-05
484,hair_type,curly,1,0.13799456,straight,mac_hybrid_200_2048_1e-05
485,hair_color,black,0,0.9995413,black,mac_hybrid_200_2048_1e-05
486,eye_color,black,1,0.687389,black,mac_hybrid_200_2048_1e-05
